candle_24h,nbTrans,volume,fee
15706,31896,1491978.9455664007,0.15682109950617285
15707,39433,1947296.2427246508,0.2095888192156862
15708,42309,1742042.5548843802,0.23248967586419744
15709,48589,2328536.9041806497,0.2516314588888888
15710,39596,2100349.6978509305,0.2223269103546099
15711,33026,1101232.4396392696,0.24045287510344823
15712,40288,1492637.9386186996,0.21393008773809516
15713,38624,2147948.01943461,0.2436562166917293
15714,43190,1720210.1484403508,0.2521924924615385
15715,52539,1335111.5908840704,1.043497137006802
15716,52749,1332342.5426588804,0.3635212543589743
15717,45671,980520.6654973998,0.300531210409836
15718,49441,886111.6136161002,0.29453182022556396
15719,44560,1119697.5522372099,0.22214702121019114
15720,45022,2092810.835307919,0.27744014016528934
15721,53629,2235038.364272102,0.3146554080152672
15722,48100,1828926.937996231,0.34118366801801814
15723,49139,1655101.0421214395,0.31078708818181805
15724,56170,1542714.3299501203,0.41260942084415586
15725,41371,1199630.7625162397,0.2537513818461538
15726,40441,1152751.4575347402,0.22425299613636362
15727,43752,1463697.9200797598,0.23038869909722232
15728,46678,2413364.5827170396,0.35242404753968254
15729,46221,1616949.9583276,0.2821911921794871
15730,48511,1564347.82846358,0.3022991408759123
15731,52366,1344171.74612866,0.3071036893589743
15732,55413,1471814.5888811504,0.3160239998675497
15733,52180,1690349.0161367801,0.29350084210884364
15734,51703,2426699.9486301695,0.31402210234177225
15735,41219,2692071.856304969,0.22803165562091499
15736,51633,1589397.7543035795,0.24764845020725385
15737,59382,1813676.6673823898,0.35568041877551015
15738,54465,1354020.5829963998,0.48291051555555536
15739,61164,1389161.4799109104,0.27985645198924736
15740,55005,2012536.758778199,0.27572879091463415
15741,53420,2006309.532811339,0.25363878203592805
15742,42555,1860603.3430080304,0.22084199075342464
15743,61237,1728717.48548849,0.31532822357142853
15744,60921,2189719.726647589,0.32623905635761585
15745,57750,1816284.6036169203,0.315683644755245
15746,56443,1370569.5892946909,0.28078771714285705
15747,57594,1328240.5831556702,0.30683178691823887
15748,58551,1273851.4583298995,0.34877369589928053
15749,59090,1221054.8355689105,0.32820224883040927
15750,50928,1502365.26186876,0.28776957754966875
15751,55647,1285435.3398249503,0.3201376125139663
15752,51433,1268206.3358484798,0.26866343920634933
15753,49635,1145511.7571534503,0.2490032418085107
