,time,nbTrans,V,Fee,height
0,1521624558,440,1311.80733642,0.04863219,514511
1,1521625210,1477,5900.05418106,0.20426445,514512
2,1521625627,913,3022.90410716,0.1826629,514513
3,1521627359,2475,9093.27311594,0.51504329,514514
4,1521627966,2261,9979.35783026,0.17420964,514515
5,1521628012,157,1362.03589738,0.02498257,514516
6,1521628096,181,594.94748065,0.02199745,514517
7,1521629452,2266,10034.30839955,0.3961132,514518
8,1521630604,2257,11557.81698967,0.33739356,514519
9,1521631518,1717,5334.41071501,0.37570093,514520
10,1521631813,1443,11097.34440518,0.10500153,514521
11,1521631971,877,6613.67306593,0.08580259,514522
12,1521632042,182,3177.83475817,0.03426444,514523
13,1521633942,1897,14155.02346943,0.68217776,514524
14,1521634852,2654,9369.91521748,0.30157956,514525
15,1521634859,1863,5567.2673928,0.03499992,514526
16,1521634906,1,12.5,0.0,514527
17,1521635928,2443,9557.8577313,0.40999398,514528
18,1521636836,1917,6005.31818723,0.34014389,514529
19,1521638462,738,5700.12233342,0.8150645,514530
20,1521639082,733,4547.10388244,0.53380666,514531
21,1521639274,1155,5749.64150796,0.32590503,514532
22,1521639777,2200,11026.93952823,0.2265739,514533
23,1521640764,1824,9506.03661357,0.52893642,514534
24,1521640825,2471,4136.96951931,0.12738289,514535
25,1521641322,2055,10149.5438378,0.27589996,514536
26,1521642136,2285,16361.50050763,0.49833147,514537
27,1521642660,1217,3318.26298831,0.20260106,514538
28,1521643093,1727,10588.52802615,0.21678709,514539
29,1521643198,1261,3744.50399946,0.05192402,514540
30,1521645361,2223,18379.22944167,0.79881166,514541
31,1521645871,2868,8974.04006016,0.2805073,514542
32,1521646186,2259,4463.69003673,0.18804656,514543
33,1521646806,1292,5526.25350741,0.36519676,514544
34,1521647280,2397,9150.91952683,0.23351146,514545
35,1521647847,2157,10686.66692666,0.2292055,514546
36,1521648277,1688,3882.65662793,0.20598778,514547
37,1521651214,2095,19447.01104252,1.25106125,514548
38,1521651455,3590,10576.02294303,0.20469748,514549
39,1521651495,2354,7757.17838094,0.06920931,514550
40,1521651970,1794,7396.62529576,0.34471252,514551
41,1521652218,1089,2262.87991208,0.18326373,514552
42,1521653047,2205,8586.80348275,0.29024539,514553
43,1521653511,1970,9385.98949728,0.2523799,514554
44,1521655550,2726,12870.25338685,0.5854259,514555
45,1521655813,2458,5351.51296123,0.17026131,514556
46,1521656487,2208,8698.87824892,0.25246443,514557
47,1521657247,2500,8797.21039167,0.39709919,514558
48,1521658427,2434,6867.35443169,0.61390682,514559
49,1521659542,2814,9372.24249507,0.36482244,514560
