candle_24h,nb,V,V_EUR,Pmin,PQ1,Pmed,PQ3,Pmax,P_open,P_close,return
16654,231,5531.1531589199985,15200.823094198251,1.9,2.5,2.62,2.9400000000000004,20.0,20.0,2.56,-0.8720000000000001
16655,392,34229.274176919986,34139.77969947178,0.5615899999999999,0.7294,1.0,1.32999,2.59809,2.55999,0.65,-0.7460927581748367
16656,110,4288.880719469998,2774.0952146432373,0.52353,0.619405,0.6633,0.7,0.8,0.6,0.7,0.16666666666666666
16657,121,8681.883703289997,5588.8640129824,0.585,0.6165,0.643,0.66998,0.7499899999999999,0.7,0.67999,-0.02858571428571425
16658,359,26552.181059679984,21705.99320514529,0.5915,0.74688,0.84,0.8900100000000001,1.0077,0.68,1.0,0.4705882352941175
16659,432,40528.24606067998,42570.435792372125,0.83334,1.00001,1.078395,1.1023174999999998,1.19011,0.92378,1.09315,0.183344519257832
16660,575,37314.314457009954,50016.64694223925,1.05314,1.185655,1.3305,1.5,1.91999,1.09315,1.62276,0.4844806293738278
16661,1029,80570.49074844997,147533.4816208779,1.52,1.71928,1.86989,1.95,1.97,1.74,1.58001,-0.091948275862069
16662,503,40455.637148310016,62269.17700896961,1.36002,1.51009,1.54,1.6,1.62242,1.581,1.524,-0.03605313092979123
16663,485,31764.848025430016,39512.00302941369,0.99,1.175,1.25981,1.29999,1.52,1.52,1.41569,-0.06862500000000007
16664,400,31129.717219749968,37636.95039842362,1.05,1.16988,1.20484,1.25199,1.44769,1.3399,1.075,-0.19770132099410406
16665,415,30932.05988471,34751.79813447016,1.00279,1.1,1.116,1.1616,1.25946,1.075,1.109,0.03162790697674422
16666,164,9977.059426090003,11404.23123162103,1.0909,1.1262975000000002,1.162475,1.1712575,1.21,1.10911,1.16175,0.047461478122097916
16667,276,13187.705249539995,16553.26855174841,1.13,1.207525,1.25,1.3,1.4,1.16,1.32165,0.13935344827586213
16668,237,14598.4468884,19125.427589154755,1.20444,1.25001,1.31,1.34751,1.37953,1.35447,1.23043,-0.0915782557014922
16669,135,16980.770419849992,20602.96929694796,1.15801,1.205055,1.255,1.2699,1.2998,1.23043,1.20138,-0.023609632404931632
16670,130,10206.568182090004,12025.33898438635,1.13,1.15303,1.1789999999999998,1.2003075,1.27,1.20139,1.2185,0.014241836539341897
16671,291,18783.70229921,21043.881412249862,1.08,1.10015,1.11467,1.127105,1.19,1.19,1.08,-0.09243697478991586
16672,377,40058.731834539954,41625.23229326416,1.0,1.02,1.04499,1.051,1.12999,1.0727799999999998,1.00748,-0.0608698894461119
16673,311,20718.62349288998,21218.19346718916,0.93383,1.0005,1.03305,1.052,1.06989,1.001,1.00536,0.004355644355644498
16674,320,36463.68186349,37560.23918394055,1.00301,1.03,1.03,1.03,1.06762,1.03,1.02801,-0.0019320388349513946
16675,104,8710.785882929997,9260.348148141855,1.003,1.03,1.05869,1.0804,1.11,1.02,1.0500200000000002,0.02943137254901976
16676,40,1604.66066728,1680.5725375145016,1.02012,1.0356,1.04167,1.0706025,1.099,1.0501,1.04167,-0.008027806875535604
16677,283,24346.40267893,28095.272688540008,1.04132,1.15,1.17085,1.17735,1.22981,1.0724,1.19589,0.11515292801193573
16678,301,28470.938623709986,33635.82144605641,1.09,1.16998,1.199,1.2,1.22988,1.16501,1.18214,0.01470373644861406
16679,243,16716.98156261,20360.898591851863,1.1919,1.21003,1.2121,1.22314,1.24547,1.21299,1.20212,-0.00896132696889499
16680,167,10996.69514431,12844.021582203366,1.14,1.15261,1.175,1.1908,1.20745,1.20212,1.16779,-0.028557881076764362
16681,158,10129.67842757,11429.619313026653,1.0812,1.1189125,1.122,1.1499975,1.18,1.17439,1.15599,-0.01566770834220316
16682,178,11508.825857319995,13283.85999663405,1.10006,1.1535,1.1535,1.1535,1.16999,1.15001,1.1535,0.003034756219511129
16683,184,15243.26164710001,18043.805636169203,1.1351,1.1535,1.175,1.2,1.23,1.1535,1.21206,0.050767230169050666
16684,140,15275.184779570005,18125.6877587619,1.153,1.175,1.18001,1.2,1.23,1.2,1.175,-0.02083333333333326
16685,275,28082.225459229994,32295.32595650162,1.11291,1.12502,1.131,1.16,1.243,1.16,1.11876,-0.03555172413793098
16686,193,13095.511246940005,14608.674460241016,1.10001,1.11,1.116,1.122,1.15832,1.11876,1.10007,-0.016705995924058668
16687,170,12800.17048066,14019.195434184914,1.07,1.09101,1.1,1.10001,1.14,1.10007,1.07001,-0.02732553382966556
16688,300,33772.59471254,35286.44322144409,1.007,1.025805,1.05,1.05,1.09392,1.0701,1.04999,-0.01879263620222416
16689,644,54182.65235629,49172.41638017233,0.83457,0.878,0.9,0.94,1.045,1.045,0.86213,-0.1749952153110048
16690,254,19792.926248200005,18693.90256072814,0.88749,0.91222,0.91222,0.92,1.00116,0.88749,0.92132,0.0381187393660774
16691,244,13810.20400012,11794.226464615049,0.8,0.83899,0.86213,0.9,0.92172,0.92172,0.82501,-0.10492340407065047
16692,216,22387.81971079,17705.26422119112,0.6659999999999999,0.78508,0.8,0.83,0.8441799999999999,0.835,0.78,-0.06586826347305381
16693,191,14670.749561980005,12586.411329911392,0.773,0.84,0.85,0.86,0.88307,0.78,0.83649,0.07242307692307683
