candle_24h,nb,V,V_EUR,Pmin,PQ1,Pmed,PQ3,Pmax,P_open,P_close,return
15958,1,1.0,0.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,0.0
15959,7,2.05,0.0,96.75,96.85,96.91,99.05,99.9,99.9,96.75,-0.031531531531531584
15961,6,1.0308783300000002,0.0,96.0,96.0,96.1,96.275,96.99,96.0,96.0,0.0
15962,3,2.29095,0.0,95.0,95.5,96.0,96.0,96.0,96.0,95.0,-0.010416666666666666
15963,5,0.93157578,0.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,0.0
15964,5,4.35789,0.0,90.0,90.0,94.9999,95.0,95.0,95.0,90.0,-0.05263157894736842
15965,3,1.7983816899999998,0.0,94.5,94.5,94.5,94.75,95.0,95.0,94.5,-0.005263157894736842
15966,5,5.48686152,0.0,94.25,94.25,94.5,94.75,95.0,94.25,94.5,0.002652519893899204
15967,2,2.5,0.0,93.2,93.3,93.4,93.5,93.6,93.6,93.2,-0.004273504273504183
15969,3,1.5,0.0,94.0,94.0,94.0,94.245,94.49,94.0,94.49,0.005212765957446754
15970,1,1.0,0.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,0.0
15971,1,0.5,0.0,92.5,92.5,92.5,92.5,92.5,92.5,92.5,0.0
15972,1,0.055060000000000005,0.0,90.25,90.25,90.25,90.25,90.25,90.25,90.25,0.0
15973,2,0.25,0.0,90.25,90.465,90.68,90.895,91.11,91.11,90.25,-0.009439139501701234
15976,1,0.01,0.0,91.2,91.2,91.2,91.2,91.2,91.2,91.2,0.0
15977,4,6.2676190400000005,0.0,93.25,94.1875,94.5,94.5,94.5,93.25,94.5,0.013404825737265416
15978,3,1.63546454,0.0,94.5,94.5,94.5,94.5,94.5,94.5,94.5,0.0
15979,2,0.73125743,0.0,94.5,94.875,95.25,95.625,96.0,94.5,96.0,0.015873015873015872
15980,13,9.11111,0.0,90.0,92.0,93.5,96.99999,96.99999,93.5,92.0,-0.016042780748663103
15981,28,59.86229981,0.0,81.0,84.75,85.0,89.1575,96.999,90.1,85.0,-0.0566037735849056
15982,16,2.1690000000000005,0.0,89.6,89.77499999999998,89.9,90.0,90.2,90.2,90.0,-0.002217294900221761
15983,1,0.54,0.0,88.49602,88.49602,88.49602,88.49602,88.49602,88.49602,88.49602,0.0
15984,16,3.4825000000000013,0.0,88.7,89.225,89.55,90.075,92.50656,92.50656,89.0,-0.037906068499358236
15985,21,19.692984780000007,0.0,88.8,96.9,98.0,101.0,107.0,89.0,94.55941,0.0624652808988764
15986,63,45.05960492000003,0.0,89.029,93.0925,93.09470999999999,94.45566,95.0,90.5,95.0,0.04972375690607735
15987,41,28.501448260000004,0.0,90.2,91.85,94.0,95.0,96.5,94.0,91.6,-0.025531914893617082
15988,12,8.163063239999998,0.0,91.60935,92.875,94.975,95.00975,96.17255,95.039,95.0,-0.0004103578530919041
15989,8,13.479220300000001,0.0,90.0,91.575,91.7279,92.55,94.9628,90.0,91.5,0.016666666666666666
15990,5,5.25388422,0.0,94.2,94.2,94.2,94.2,94.2,94.2,94.2,0.0
