candle_24h,PQ1,PQ3,pClose,previousClose,Pmax,Pmed,Pmin,V,V_EUR,nb,return,previousV,returnV
15958,97.0,97.0,97.0,97.0,97.0,97.0,97.0,1.0,,1.0,0.0,,
15959,96.85,99.05,96.75,97.0,99.9,96.91,96.75,2.05,,7.0,-0.002577319587628866,1.0,0.5121951219512195
15960,96.75,96.75,96.75,96.75,96.75,96.75,96.75,0.0,,0.0,0.0,2.05,-inf
15961,96.0,96.275,96.0,96.75,96.99,96.1,96.0,1.0308783300000002,,6.0,-0.007751937984496123,0.0,1.0
15962,95.5,96.0,95.0,96.0,96.0,96.0,95.0,2.29095,,3.0,-0.010416666666666666,1.0308783300000002,0.5500214627119753
15963,95.0,95.0,95.0,95.0,95.0,95.0,95.0,0.93157578,,5.0,0.0,2.29095,-1.4592202257555473
15964,90.0,95.0,90.0,95.0,95.0,94.9999,90.0,4.35789,,5.0,-0.05263157894736842,0.93157578,0.7862323785134548
15965,94.5,94.75,94.5,90.0,95.0,94.5,94.5,1.7983816899999998,,3.0,0.05,4.35789,-1.4232286306251265
15966,94.25,94.75,94.5,94.5,95.0,94.5,94.25,5.48686152,,5.0,0.0,1.7983816899999998,0.6722385495889096
15967,93.3,93.5,93.2,94.5,93.6,93.4,93.2,2.5,,2.0,-0.013756613756613727,5.48686152,-1.194744608
15968,93.2,93.2,93.2,93.2,93.2,93.2,93.2,0.0,,0.0,0.0,2.5,-inf
15969,94.0,94.245,94.49,93.2,94.49,94.0,94.0,1.5,,3.0,0.013841201716738112,0.0,1.0
15970,93.0,93.0,93.0,94.49,93.0,93.0,93.0,1.0,,1.0,-0.015768864430098367,1.5,-0.5
15971,92.5,92.5,92.5,93.0,92.5,92.5,92.5,0.5,,1.0,-0.005376344086021507,1.0,-1.0
15972,90.25,90.25,90.25,92.5,90.25,90.25,90.25,0.055060000000000005,,1.0,-0.02432432432432433,0.5,-8.08100254268071
15973,90.465,90.895,90.25,90.25,91.11,90.68,90.25,0.25,,2.0,0.0,0.055060000000000005,0.77976
15974,90.25,90.25,90.25,90.25,90.25,90.25,90.25,0.0,,0.0,0.0,0.25,-inf
15975,90.25,90.25,90.25,90.25,90.25,90.25,90.25,0.0,,0.0,0.0,0.0,
15976,91.2,91.2,91.2,90.25,91.2,91.2,91.2,0.01,,1.0,0.010526315789473715,0.0,1.0
15977,94.1875,94.5,94.5,91.2,94.5,94.5,93.25,6.2676190400000005,,4.0,0.03618421052631576,0.01,0.9984044977947479
15978,94.5,94.5,94.5,94.5,94.5,94.5,94.5,1.63546454,,3.0,0.0,6.2676190400000005,-2.8323172937763603
15979,94.875,95.625,96.0,94.5,96.0,95.25,94.5,0.73125743,,2.0,0.015873015873015872,1.63546454,-1.236509979802872
15980,92.0,96.99999,92.0,96.0,96.99999,93.5,90.0,9.11111,,13.0,-0.04166666666666666,0.73125743,0.9197400283829303
15981,84.75,89.1575,85.0,92.0,96.999,85.0,81.0,59.86229981,,28.0,-0.07608695652173914,9.11111,0.847798864578905
15982,89.77499999999998,90.0,90.0,85.0,90.2,89.9,89.6,2.1690000000000005,,16.0,0.05882352941176471,59.86229981,-26.599031724296903
15983,88.49602,88.49602,88.49602,90.0,88.49602,88.49602,88.49602,0.54,,1.0,-0.016710888888888872,2.1690000000000005,-3.0166666666666675
15984,89.225,90.075,89.0,88.49602,92.50656,89.55,88.7,3.4825000000000013,,16.0,0.005694945377204518,0.54,0.8449389806173726
15985,96.9,101.0,94.55941,89.0,107.0,98.0,88.8,19.692984780000007,,21.0,0.0624652808988764,3.4825000000000013,0.8231603772153019
15986,93.0925,94.45566,95.0,94.55941,95.0,93.09470999999999,89.029,45.05960492000003,,63.0,0.004659398784319829,19.692984780000007,0.5629570029527903
15987,91.85,95.0,91.6,95.0,96.5,94.0,90.2,28.501448260000004,,41.0,-0.03578947368421058,45.05960492000003,-0.5809584309172934
15988,92.875,95.00975,95.0,91.6,96.17255,94.975,91.60935,8.163063239999998,,12.0,0.03711790393013107,28.501448260000004,-2.491513837641176
15989,91.575,92.55,91.5,95.0,94.9628,91.7279,90.0,13.4792203,,8.0,-0.036842105263157884,8.163063239999998,0.39439648152349005
15990,94.2,94.2,94.2,91.5,94.2,94.2,94.2,5.25388422,,5.0,0.029508196721311507,13.4792203,-1.565572390934797
15991,94.9975,95.975,96.5,94.2,96.5,95.0,94.98,22.37047,,8.0,0.024416135881104004,5.25388422,0.7651419831590486
15992,98.375,100.99009000000001,84.0,96.5,101.0,99.75,84.0,10.071615929999997,,12.0,-0.12953367875647667,22.37047,-1.221140098617721
15993,100.00518,100.50518,100.01035999999999,84.0,101.0,100.01035999999999,100.0,3.51615407,,3.0,0.19059952380952389,10.071615929999997,-1.8643841337703377
15994,107.0,107.0,104.98973000000001,100.01035999999999,107.5,107.0,100.01061,25.22095378,,20.0,0.049788541907058316,3.51615407,0.8605859992183056
15995,105.0,108.9818925,105.0,104.98973000000001,108.98966999999999,105.49476,105.0,49.43848361,,8.0,9.781909144833074e-05,25.22095378,0.4898517928066362
15996,109.0,111.0,111.0,105.0,112.0,110.0,105.09045,23.40506257,,31.0,0.057142857142857134,49.43848361,-1.1122987158072786
15997,112.65,117.2583325,123.48638999999999,111.0,123.48638999999999,114.14112,111.5,7.29380584,,8.0,0.11249,23.40506257,-2.208895751192631
15998,121.35,121.45,121.3,123.48638999999999,121.5,121.4,121.3,0.02,,2.0,-0.017705513943682402,7.29380584,-363.690292
15999,128.00396999999998,129.5319,130.0,121.3,131.42968,128.6926,122.0,22.74000000000001,,32.0,0.07172300082440232,0.02,0.9991204925241864
16000,133.66748,137.3796,137.0,130.0,140.35023,136.4796,130.2,15.962411540000002,,17.0,0.05384615384615385,22.74000000000001,-0.42459677493066356
16001,138.96971499999998,146.92409750000004,148.9,137.0,148.9,141.78404,135.02748,63.85814269000001,,46.0,0.08686131386861318,15.962411540000002,0.7500332632990958
16002,135.47006000000002,143.5,140.44616000000002,148.9,150.0,140.0,86.0,57.49443738,,55.0,-0.05677528542646061,63.85814269000001,-0.11068384351585435
16003,132.36794500000002,136.00685,135.15675,140.44616000000002,139.78187,134.68763,124.91,58.79380177999998,,59.0,-0.03766147824903174,57.49443738,0.022100363655033924
16004,130.0,136.52106,130.0,135.15675,159.0,132.668965,129.60302,28.36738404,,28.0,-0.03815384729212554,58.79380177999998,-1.0725845462907893
16005,139.0,140.0,138.95722,130.0,140.5547,140.0,131.95645,13.54619,,17.0,0.06890169230769236,28.36738404,-1.0941227046128839
16006,140.54,140.54,140.54,138.95722,140.54,140.54,140.54,0.59,,1.0,0.011390412099493536,13.54619,-21.95964406779661
16007,144.0,148.5036,148.5036,140.54,149.8,145.62849,143.10085,20.81819555,,13.0,0.05666429486267265,0.59,0.9716594073399412
16008,145.61739,149.8,149.71337,148.5036,149.8,148.43827,145.0,34.125043760000004,,20.0,0.008146401838069863,20.81819555,0.3899437698479307
16009,149.1783425,149.8,150.0,149.71337,150.0,149.8,145.05796999999995,27.44412582,,18.0,0.001914525068803156,34.125043760000004,-0.243437083178334
16010,150.007455,152.0,153.0,150.0,153.0,151.0,150.0,8.62730595,,15.0,0.02,27.44412582,-2.1810771495822516
16011,151.45,151.725,154.0,153.0,154.0,151.45,150.0,51.97646156,,15.0,0.006535947712418301,8.62730595,0.8340151351003202
16012,149.07113,153.0,154.0,154.0,154.0,152.0,148.54547,14.618636899999998,,13.0,0.0,51.97646156,-2.5554930268498564
16013,156.0,167.0257325,170.0,154.0,170.0,162.89795,152.0,45.09830643999999,,42.0,0.1038961038961039,14.618636899999998,0.6758495372891877
16014,171.01814,181.912455,184.98219,170.0,188.0,174.37046999999995,168.0,56.226815650000006,,59.0,0.08813052941176472,45.09830643999999,0.19792174038936558
16015,188.0733425,201.8750025,200.0,184.98219,257.32048,197.0,185.0,81.01576410999995,,94.0,0.08118516706932702,56.226815650000006,0.30597685194133956
16016,218.0,226.5,230.24678,200.0,255.97821,221.12339,203.0,110.18422452999987,,170.0,0.15123389999999987,81.01576410999995,0.2647244698088175
16017,251.0,263.0,273.5,230.24678,274.0,258.0,222.0,79.09966278000002,,165.0,0.1878559170295456,110.18422452999987,-0.3929797000077659
16018,260.0,279.0,247.13362,273.5,290.0,272.0,244.5,121.07254131000002,,145.0,-0.09640358318098716,79.09966278000002,0.3466754565143768
16019,218.5,233.36569,240.0,247.13362,252.31569,221.0,204.63726,112.50151425999996,,93.0,-0.0288654372480766,121.07254131000002,-0.07618588164237264
16020,255.5,268.0,253.5,240.0,272.10019,260.0,240.0,106.27507392,,70.0,0.05625,112.50151425999996,-0.05858796527101929
16021,264.5,266.0,265.0,253.5,282.97462,265.0,256.0,93.26746029999997,,105.0,0.04536489151873768,106.27507392,-0.13946572125112358
16022,279.5,299.0,299.1,265.0,310.0,287.24608,264.99289,176.9127829800001,,225.0,0.12867924528301894,93.26746029999997,0.47280542011176313
16023,307.9,317.5,309.999,299.1,320.0,315.0,300.0,125.08084018999998,,176.0,0.03643931795386159,176.9127829800001,-0.4143875489744592
16024,311.038875,324.5,314.0,309.999,330.0,316.035,302.95398,137.64526728,,186.0,0.012906493246752332,125.08084018999998,0.09128121393699136
16025,325.0,329.375105,330.75,314.0,332.0,326.5,315.0,59.13835732,,122.0,0.05334394904458599,137.64526728,-1.3275125234743335
16026,341.99999,356.99999,360.0,330.75,374.08,353.45,330.0,110.16172749999996,,181.0,0.08843537414965986,59.13835732,0.4631678472907025
16027,420.0,462.99,498.0,360.0,499.0,445.0,366.0,246.36906874,,515.0,0.38333333333333336,110.16172749999996,0.552858936134322
16028,445.0,498.99,440.0,498.0,551.7997,475.0,370.0,406.29670835,,737.0,-0.11646586345381528,246.36906874,0.3936227794201868
16029,410.0,457.0,468.9,440.0,475.0,444.99,370.0,385.76408854000033,,811.0,0.06568181818181812,406.29670835,-0.05322584558793278
16030,486.95,530.94835,530.00001,468.9,550.0,520.0,444.11,265.3306473399998,,859.0,0.13030499040307106,385.76408854000033,-0.45389947375990375
16031,541.1,570.001,594.9,530.00001,597.6401599999998,560.00001,526.0,248.71558670999968,,841.0,0.12245280901032435,265.3306473399998,-0.06680345550427104
16032,620.0,644.0,620.1,594.9,650.5,635.0,575.0,236.7988096599997,,786.0,0.04236006051437224,248.71558670999968,-0.05032448037686641
16033,602.23,619.78999,604.89999,620.1,639.9711,612.0000200000002,568.84753,140.73661874999982,,621.0,-0.02451219158200293,236.7988096599997,-0.6825671368490228
16034,602.1337,615.0,607.99995,604.89999,627.0,609.59999,586.0,275.0219477199994,,1159.0,0.005124747976934187,140.73661874999982,0.4882713182829897
16035,625.0100075,648.0,679.9889599999998,607.99995,679.9889599999998,634.28029,607.0,270.50834162,,1584.0,0.11840298671077155,275.0219477199994,-0.016685644786288784
16036,699.0,731.39997,746.0,679.9889599999998,750.0,724.4999799999997,658.99999,520.0224061199997,,2400.0,0.09707663489124917,270.50834162,0.4798140648624708
16037,728.08,799.98,814.0,746.0,829.0,765.77107,660.0,459.7723286099997,,2269.0,0.09115281501340483,520.0224061199997,-0.1310432876466276
16038,816.0,845.0,850.49999,814.0,872.9,826.99864,760.0,363.95351492000015,,2001.0,0.04484028255528258,459.7723286099997,-0.2632721206472241
16039,849.9999975000003,864.9999550000001,846.00002,850.49999,871.42669,855.9412,839.99995,197.2277174700004,,988.0,-0.005290970079846886,363.95351492000015,-0.8453466865039382
16040,670.0,760.0,730.0000200000003,846.00002,846.00002,715.00001,583.83872,728.9162777099991,,2517.0,-0.1371158360019893,197.2277174700004,0.7294233597174956
16041,731.9914200000003,763.7259824999999,767.00007,730.0000200000003,778.6097,750.1053400000003,705.1212,342.23892325999964,,1624.0,0.05068499861136955,728.9162777099991,-1.1298462219513234
16042,784.99997,799.9997475,787.9,767.00007,815.0,796.0,747.1,291.61454294999976,,1340.0,0.027248928412744376,342.23892325999964,-0.1736003280147792
16043,805.0,833.16598,828.5,787.9,845.99,816.1,775.9128400000003,251.11199351000042,,1383.0,0.05152938190125653,291.61454294999976,-0.1612927716986419
16044,745.0,785.9249799999999,777.99994,828.5,844.9,768.6999399999999,676.0,816.1920186599997,,2964.0,-0.0609536028968014,251.11199351000042,0.692337112139042
16045,670.0,745.0000349999997,631.99996,777.99994,789.3,703.99999,601.0,810.7770557700011,,2844.0,-0.18766065714606614,816.1920186599997,-0.006678732274750887
